contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,number_seats,candidate_party_id,candidate_party_name,votes
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,115,County,Kiowa,,true,1,,,584
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,115,County,Kiowa,,false,1,,,87
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,115,County,Kiowa,,false,1,,,904
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,115,County,Kiowa,,false,1,,,991
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,116,County,Kit Carson,,false,1,,,5223
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,116,County,Kit Carson,,false,1,,,1364
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,116,County,Kit Carson,,true,1,,,1784
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,116,County,Kit Carson,,false,1,,,372
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,116,County,Kit Carson,,false,1,,,3148
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,116,County,Kit Carson,,false,1,,,3520
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,117,County,La Plata,,false,1,,,33253
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,117,County,La Plata,,false,1,,,9144
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,117,County,La Plata,,true,1,,,9756
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,117,County,La Plata,,false,1,,,1722
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,117,County,La Plata,,false,1,,,18900
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,117,County,La Plata,,false,1,,,20622
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,118,County,Lake,,false,1,,,4236
